session,total_frame,clip_num
20201222_01,5505,172
20201222_02,18940,591
20201222_03,6248,195
20201222_04,17210,537
20201222_05,6530,204
20201222_06,4649,145
20201222_07,12600,393
20201222_08,11408,356
20201222_09,12810,400
20201222_10,9657,301
20201222_11,9067,283
20201222_12,6724,210
20201222_13,7442,232
20201222_14,8805,275
20201229_01,10137,316
20201229_02,11963,373
20201229_03,32989,1030
20201229_04,6920,216
20201229_05,12808,400
20201229_06,11902,371
20210105_01,9598,299
20210105_02,12996,406
20210105_03,9961,311
20210105_04,14703,459
20210105_05,14870,464
20210105_06,8313,259
20210105_07,7550,235
20210105_08,10546,329
20210105_09,5521,172
20210105_10,19671,614
20210105_11,8536,266
20210105_12,5161,161
20210105_13,3511,109
20210105_14,3871,120
20210309_01,18551,579
20210309_02,10637,332
20210309_03,11118,347
20210309_04,34433,1076
20210309_05,6654,207
20210309_06,17647,551
20210309_07,20030,625
20210309_08,6326,197
20210309_09,19463,608
